band_abbrev,band_copied,date_right_after_band,notes_copied
alice cooper,"""Alice Cooper""",,""""""
alice in chains,"""Alice in Chains""",,""""""
alicecooper,"""Alice Cooper""",,""""""
aliceinchains,"""Alice in Chains""",,""""""
alison brown,"""Alison Brown""",,""""""
alison krauss & union station,"""Alison Krauss & Union Station""",,""""""
alisonbrown,"""Alison Brown""",,""""""
alisonbrownquintet,"""Alison Brown Quintet""",,""""""
alisonkrauss,"""Alison Krauss""",,""""""
alkatraz,"""Alkatraz""",,""""""
all about chad,"""All About Chad""",,""""""
allan.taylor,"""Allan Taylor""",,""""""
allison crutchfield and the fizz,"""Allison Crutchfield & The Fizz""",,""""""
allisonau,"""Allison Au""",,""""""
allisterlob,"""Allister Lob""",,""""""
allyvenable,"""Ally Venable""",,""""""
allyveneble,"""Ally Venable""",,""""""
alpert,"""Herb Alpert""",,""""""
alphaville,"""Alphaville""",,""""""
alstewart,"""Al Stewart""",,""""""
alt j,"""alt-J""",,""""""
alt-j,"""alt-J""",,""""""
alter bridge,"""Alter Bridge""",,""""""
alterbridge,"""Alter Bridge""",,""""""
alvvays,"""Alvaays""",,""""""
amanda,"""Amanda""",,""""""
amberiandawnfemme,"""Amberian Dawn""",FALSE,""""""
amboy dukes,"""The Amboy Dukes""",,""""""
amenra,"""Amenra""",,""""""
america,"""America""",,""""""
americanaquarium,"""American Aquarium""",,""""""
aminafigarova,"""Amina Figarova""",,""""""
amparanoia,"""Amparanoia""",,""""""
amyhelm,"""Amy Helm""",,""""""
amyray,"""Amy Ray""",,""""""
ana popovic,"""Ana Popovic""",,""""""
analogues,"""The Analogues""",,""""""
anamanaguchi,"""Anamanaguchi""",,""""""
anapopovic,"""Ana Popovic""",,""""""
anapopovoc,"""Ana Popovic""",,""""""
anders,"""Anders Osborne""",,""""""
anders+jackie,"""Anders Osborne & Jackie Greene""",,""""""
andersosborne,"""Anders Osborne""",,""""""
andres,"""Andrés""",,""""""
andrew gibb & scottish dance band,"""Andrew Gibb & Scottish Dance Band""",,""""""
andy frasco,"""Andy Frasco""",,""""""
andy irvine,"""Andy Irvine""",,""""""
andy m stewart,"""Andy M. Stewart""",,""""""
andyfalco,"""Andy Falco""",,""""""
angeille des manteaux,"""Angeille des Manteaux""",,""""""
angelicupstarts,"""Angelic Upstarts""",,""""""
angelnationmannheim,"""Angel Nation""",FALSE,""""""
angus & julia stone,"""Angus & Julia Stone""",,""""""
ani difranco,"""Ani DiFranco""",,""""""
anidifranco,"""Ani DiFranco""",,""""""
animal_collective,"""Animal Collective""",,""""""
anita baker_wembley arena,"""Anita Baker""",FALSE,""""""
anl,"""Anti-Nowhere League""",,""""""
ann wilson,"""Ann Wilson""",,""""""
anne marie,"""Anne-Marie""",,""""""
anne.mccue,"""Anne McCue""",,""""""
annekefemme,"""Anneke van Giersbergen""",FALSE,""""""
annihilator,"""Annihilator""",,""""""
ansh,"""ANSH""",,""""""
anthony joseph,"""Anthony Joseph""",,""""""
anthrax,"""Anthrax""",,""""""
antonschwartz,"""Anton Schwartz""",,""""""
anvil,"""Anvil""",,""""""
ao,"""Ao""",,""""""
aojg,"""unknown""",,""""""
apatt,"""unknown""",,""""""
apc,"""A Perfect Circle""",,""""""
apiedinudiprogday,"""A Piedi Nudi""",FALSE,""""""
"apple, fiona","""Fiona Apple""",,""""""
aquaserge,"""Aquaserge""",,""""""
aqueous,"""Aqueous""",,""""""
ar,"""unknown""",,""""""
arabstrap,"""Arab Strap""",,""""""
aranis,"""Aranis""",,""""""
arc_angels,"""Arc Angels""",,""""""
arcade fire,"""Arcade Fire""",,""""""
archenemy,"""Archenemy""",,""""""
archenemymunich,"""Archenemy""",FALSE,""""""
archenemysb,"""Archenemy""",FALSE,""""""
archenemystuttgart,"""Archenemy""",FALSE,""""""
archie,"""unknown""",,""""""
arctic monkeys,"""Arctic Monkeys""",,""""""
argos,"""Argos""",,""""""
arlanfeiles,"""Arlan Feiles""",,""""""
arlo,"""Arlo Guthrie""",,""""""
arlo guthrie,"""Arlo Guthrie""",,""""""
arloguthrie,"""Arlo Guthrie""",,""""""
art garfunkel,"""Art Garfunkel""",,""""""
artblakey,"""Art Blakey""",,""""""
artblakey-philadelphia,"""Art Blakey""",FALSE,""""""
arturo o'farrill quartet,"""Arturo O'Farrill Quartet""",,""""""
arw,"""Anderson, Rabin, & Wakeman""",,""""""
as the years go passing by,"""notband""",,""""""
ash-holmfirth picturedrome,"""Ash""",FALSE,""""""
ashcroft,"""Richard Ashcroft""",,""""""
ashesofareslangen,"""Ashes of Ares""",FALSE,""""""
asleep at the wheel,"""Asleep at the Wheel""",,""""""
asmodi bizarr,"""Asmodi Bizarr""",,""""""
astor piazzolla,"""Astor Piazzolla""",,""""""
astorpiazzollaqnttangonuevo,"""Astor Piazzolla""",FALSE,""""""
atdi,"""At the Drive-In""",,""""""
atlanta,"""Atlanta""",,""""""
atlantis,"""Atlantis""",,""""""
atmosphere,"""Atmosphere""",,""""""
atrack,"""A-Trak""",,""""""
attwenger,"""Attwenger""",,""""""
atw,"""unknown""",,""""""
aubreyhaddard,"""Aubrey Haddard""",,""""""
audacity,"""Audacity""",,""""""
audioslave,"""Audioslave""",,""""""
audrey_harrer,"""Audrey Harrer""",,""""""
auger bbc,"""Brian Auger""",FALSE,""""""
"auger, brian","""Brian Auger""",,""""""
australian pink floyd,"""Australian Pink Floyd""",,""""""
autobahn,"""Autobahn""",,""""""
av,"""unknown""",,""""""
avett,"""The Avett Brothers""",,""""""
avettbros,"""The Avett Brothers""",,""""""
aveytare,"""Avey Tare""",,""""""
avibortnick,"""Avi Bortnick""",,""""""
avishaicohen,"""Avishai Cohen""",,""""""
aynsley lister_sale,"""Aynsley Lister""",FALSE,""""""
ayr-d,"""Ayr""",,""""""
azigzaprogday,"""Azigza""",FALSE,""""""
azureray,"""Azure Ray""",,""""""
b,"""notband""",,""""""
b.cockburn,"""Bruce Cockburn""",,""""""
baba zula ebar cd,"""Baba Zula""",FALSE,""""""
babesintoyland,"""Babes in Toyland""",,""""""
baby in vain,"""Baby in Vain""",,""""""
bach - sonatas for solo violin - julia fischer,"""Julia Fischer""",,""""""
bad,"""Big Audio Dynamite""",,""""""
bad avenue,"""Bad Avenue""",,""""""
badbrains,"""Bad Brains""",,""""""
badco,"""Bad Company""",,""""""
baez,"""Joan Baez""",,""""""
baez essen,"""Joan Baez""",FALSE,""""""
bananaslugstringband,"""Banana Slug String Band""",,""""""
band,"""unknown""",,""""""
band of holy joy,"""The Band of Holy Joy""",,""""""
band of horses,"""Band of Horses""",,""""""
bandcompetitionfinals,"""notband""",,""""""
banjocontest,"""notband""",,""""""
baobab chiasso,"""Orchestra Baobab""",FALSE,""""""
bardo_pond,"""Bardo Pond""",,""""""
barnes,"""BARNES""",,""""""
barrbros,"""The Barr Brothers""",,""""""
barrington_levy,"""Barrington Levy""",,""""""
barrymelton,"""Barry Melton""",,""""""
bathtubgin,"""Bathtub Gin""",,""""""
"battiato, franco","""Franco Battiato""",,""""""
battlefield,"""Battlefield""",,""""""
bauhaus,"""Bauhaus""",,""""""
bawninthemash,"""Bawn in the Mash""",,""""""
baxter dury,"""Baxter Dury""",,""""""
bazzookas,"""BAZZOOKAS""",,""""""
bb,"""unknown""",,""""""
bb_jh,"""unknown""",,""""""
bbc con orch,"""BBC Concert Orchestra""",,""""""
bbcso,"""BBC Symphony Orchestra""",,""""""
bbfl,"""unknown""",,""""""
bbgwpart,"""unknown""",,""""""
bbking,"""B.B. King""",,""""""
bbs,"""unknown""",,""""""
bcl,"""unknown""",,""""""
bcockburn,"""Bruce Cockburn""",,""""""
bd,"""Bob Dylan""",,""""""
bd_ccv,"""Bob Dylan""",FALSE,""""""
bd_riems,"""Bob Dylan""",FALSE,""""""
bdltd,"""Bob Dylan""",FALSE,""""""
bdm,"""Bob Dylan""",FALSE,""""""
bdylan,"""Bob Dylan""",,""""""
beach house,"""Beach House""",,""""""
beachboys,"""The Beach Boys""",,""""""
beans on toast,"""Beans on Toast""",,""""""
bear s den,"""Bear's Den""",,""""""
bear's den,"""Bear's Den""",,""""""
beardfishprogday,"""Beardfish""",FALSE,""""""
bearly,"""Bearly""",,""""""
bearsden,"""Bear's Den""",,""""""
beastie boys,"""Beastie Boys""",,""""""
beatsantique,"""Beats Antique""",,""""""
beck,"""Beck""",,""""""
bedouine,"""Bedouine""",,""""""
behemoth,"""Behemoth""",,""""""
belafleck,"""Bela Fleck""",,""""""
belafleckandtheflecktones,"""Bela Fleck & The Flecktones""",,""""""
belinda carlisle,"""Belinda Carlisle""",,""""""
bell,"""unknown""",,""""""
belle & sebastian,"""Belle and Sebastian""",,""""""
belle and sebastian,"""Belle and Sebastian""",,""""""
belle game,"""The Belle Game""",,""""""
belle_sebastian,"""Belle and Sebastian""",,""""""
bellringer,"""Bellringer""",,""""""
ben folds,"""Ben Folds""",,""""""
ben harper,"""Ben Harper""",,""""""
benjaminbooker,"""Benjamin Booker""",,""""""
benjaminclementine,"""Benjamin Clementine""",,""""""
benny green,"""Benny Green""",,""""""
benoit,"""Tab Benoit""",,""""""
berlin,"""Berlin""",,""""""
bermuda triangle,"""Bermuda Triangle""",,""""""
berniemarsden,"""Bernie Marsden""",,""""""
bernietorme,"""Bernie Torme""",,""""""
berniew,"""unknown""",,""""""
"bert jansch,paul millns,nigel portman-smith","""Bert Jansch, Paul Millns, & Nigel Portman-Smith""",,""""""
best coast,"""Best Coast""",,""""""
beth ditto,"""Beth Ditto""",,""""""
beth hart,"""Beth Hart""",,""""""
betse&clarkewiththeachinghearts,"""Betse & Clarke with The Aching Hearts""",,""""""
bevis frond,"""The Bevis Frond""",,""""""
beyondgodfemme,"""Beyond God""",FALSE,""""""
bfeck&ccorea,"""Bela Fleck & Chick Corea""",,""""""
bff,"""unknown""",,""""""
bg,"""unknown""",,""""""
bicep,"""Bicep""",,""""""
biffy clyro,"""Biffy Clyro""",,""""""
big,"""unknown""",,""""""
big audio dynamite,"""Big Audio Dynamite""",,""""""
big business,"""Big Business""",,""""""
big country,"""Big Country""",,""""""
big sam's funky nation,"""Big Sam's Funky Nation""",,""""""
big star,"""Big Star""",,""""""
big thief,"""Big Thief""",,""""""
big.daddy.wilson,"""Big Daddy Wilson""",,""""""
bigbernie,"""Big Bernie""",,""""""
bigbraziliancheese,"""Big Brazilian Cheese""",,""""""
bigfoot,"""Bigfoot""",,""""""
bigfootyancy,"""Bigfoot Yancey""",,""""""
bigsomething,"""Big Something""",,""""""
bigtime,"""Big Time""",,""""""
bill.wyman & the.rhythm.kings,"""Bill Wyman & The Rhythm Kings""",,""""""
bill_morrissey,"""Bill Morrisey""",,""""""
billkirchin,"""Bill Kirchin""",,""""""
billm,"""unknown""",,""""""
billposs,"""Bill Poss""",,""""""
billy joel,"""Billy Joel""",,""""""
billy martin wicked knee,"""Billy Martin""",FALSE,""""""
billy_bright,"""Billy Bright""",,""""""
billybragg,"""Billy Bragg""",,""""""
billycobham,"""Billy Cobham""",,""""""
billyjoel,"""Billy Joel""",,""""""
billystrings,"""Billy Strings""",,""""""
billywylder,"""Billy Wylder""",,""""""
birch,"""Birch""",,""""""
birdcity,"""Bird City""",,""""""
bit d,"""notband""",,""""""
bitchin' bajas,"""Bitchin' Bajas""",,""""""
bjbarham,"""BJ Barham""",,""""""
bjm,"""The Brian Jonestown Massacare""",,""""""
bjoel,"""Billy Joel""",,""""""
bjthomas,"""BJ Thomas""",,""""""
black,"""Black""",,""""""
black box revelation,"""The Black Box Revelation""",,""""""
black dog,"""Black Dog""",,""""""
black mountain,"""Black Mountain""",,""""""
black sabbath,"""Black Sabbath""",,""""""
black sabbitch,"""Black Sabbitch""",,""""""
black top,"""Black Top""",,""""""
black_angels,"""Black Angels""",,""""""
black_art_jazz_collective,"""Black Art Jazz Collective""",,""""""
black_sabbath,"""Black Sabbath""",,""""""
blackangels,"""Black Angels""",,""""""
blackberry,"""Blackberry""",,""""""
blackcrowes,"""Black Crowes""",,""""""
blacklillies,"""Black Lillies""",,""""""
blacklung,"""Black Lung""",,""""""
blackmountain,"""Black Mountain""",,""""""
blacksabbitch,"""Black Sabbitch""",,""""""
blackuhuru,"""Black Uhuru""",,""""""
blackwaters,"""Black Waters""",,""""""
blas,"""unknown""",,""""""
blasters,"""The Blasters""",,""""""
bleachers,"""Bleachers""",,""""""
blindboys,"""Blind Boys of Alabama""",,""""""
blitzentrapper,"""Blitzen Trapper""",,""""""
blj,"""unknown""",,""""""
blondie,"""Blondie""",,""""""
blowbyblow,"""Blow By Blow""",,""""""
blue,"""Blue""",,""""""
blue collar man,"""notband""",,""""""
blue_heron_choir,"""Blue Heron Renaissance Choir""",,""""""
bluerose,"""Blue Rose""",,""""""
blues,"""unknown""",,""""""
blues pills,"""Blues Pills""",,""""""
bluesp,"""Blues Pills""",,""""""
bluespills,"""Blues Pills""",,""""""
bmarsalis,"""Branford Marsalis""",,""""""
bmc,"""unknown""",,""""""
bmm,"""unknown""",,""""""
bmw,"""unknown""",,""""""
bo ningen,"""Bo Ningen""",,""""""
bob & carol pegg,"""Bob & Carol Pegg""",,""""""
bob dylan,"""Bob Dylan""",,""""""
bob marley,"""Bob Marley""",,""""""
bob pegg,"""Bob Pegg""",,""""""
bob pegg & nick strutt,"""Bob Pegg & Nick Strutt""",,""""""
bob pegg & tim souster,"""Bob Pegg & Tim Souster""",,""""""
bob welch,"""Bob Welch""",,""""""
bob.dylan,"""Bob Dylan""",,""""""
bobbykeys,"""Bobby Keys""",,""""""
bobdylan,"""Bob Dylan""",,""""""
bobseger,"""Bob Seger""",,""""""
boc,"""Blue Oyster Cult""",,""""""
bodylan,"""Bob Dylan""",,""""""
boh_billydee,"""Band of Horses""",FALSE,""""""
bol,"""BOL""",,""""""
bon iver,"""Bon Iver""",,""""""
bon jovi,"""Bon Jovi""",,""""""
bonamassa,"""Joe Bonamassa""",,""""""
bonarama,"""Bonerama""",,""""""
bonerama,"""Bonerama""",,""""""
bongripper,"""Bongripper""",,""""""
bonnie raitt,"""Bonnie Raitt""",,""""""
bonnie_raitt,"""Bonnie Raitt""",,""""""
bonnieraitt,"""Bonnie Raitt""",,""""""
bookert,"""Booker T.""",,""""""
boom tic boom,"""Boom Tic Boom""",,""""""
bootsy,"""Bootsy""",,""""""
borisgarcia,"""Boris Garcia""",,""""""
bostonchamberms,"""Boston Chamber MS""",,""""""
bostonpops,"""Boston Pops""",,""""""
bostonso,"""Boston Symphony Orhestra""",,""""""
bostonso_chamber_players,"""Boston Symphony Orhestra Chamber Players""",,""""""
bottlerockets,"""The Bottle Rockets""",,""""""
boubacartraore_chiasso,"""Boubacar Traoré""",FALSE,""""""
bowthayer,"""Bow Thayer""",,""""""
box,"""The Box""",,""""""
boyziimen,"""Boyz II Men""",,""""""
bpb,"""unknown""",,""""""
bradmehldauchristhile,"""Brad Mehldau & Chris Thile""",,""""""
brain surgeons,"""Brain Surgeons""",,""""""
brandi carlile,"""Brandi Carlile""",,""""""
brandnew,"""Brand New""",,""""""
brandx,"""Brand X""",,""""""
branfordmarsalis,"""Branford Marsalis""",,""""""
brant_bjork,"""Brant Bjork""",,""""""
brantbjork,"""Brant Bjork""",,""""""
breeders,"""The Breeders""",,""""""
breeders-last_splash_demos,"""The Breeders""",FALSE,""""""
brettdennen,"""Brett Dennen""",,""""""
brian,"""unknown""",,""""""
brian may band,"""Brian May Band""",,""""""
brian paramount,"""Brian Paramount""",,""""""
brian setzer,"""Brian Setzer""",,""""""
brian wilson,"""Brian Wilson""",,""""""
brianblade,"""Brian Blade""",,""""""
briandowney,"""Brian Downey""",,""""""
briansancesband,"""Brian Sances Band""",,""""""
briansetzer,"""Brian Setzer""",,""""""
brianwilson,"""Brian WIlson""",,""""""
british sea power,"""British Sea Power""",,""""""
brix and the extricated,"""Brix and the Extricated""",,""""""
brixandtheextricated,"""Brix and the Extricated""",,""""""
broken social scene,"""Broken Social Scene""",,""""""
broken_windows,"""Broken Windows""",,""""""
bromberg,"""David Bromberg""",,""""""
brothergrimm,"""Brothers Grimm""",,""""""
brotherroy,"""Brother Roy""",,""""""
brothersmccann,"""Brothers McCann""",,""""""
brothersosborne,"""Brothers Osborne""",,""""""
brothersun,"""Brother Sun""",,""""""
browne,"""Jackson Browne""",,""""""
"browne, jackson","""Jackson Browne""",,""""""
browstein,"""unknown""",,""""""
brox,"""Kyla Brox""",,""""""
bru,"""unknown""",,""""""
bruce cockburn,"""Bruce Cockburn""",,""""""
bruce izod,"""Bruce Izod""",,""""""
bruce springsteen,"""Bruce Springsteen""",,""""""
bruce.cockburn,"""Bruce Cockburn""",,""""""
bruce.sudano+hbrs,"""Bruce Sudano""",FALSE,""""""
brucebartletttrio,"""Bruce Bartlett Trio""",,""""""
brucecockburn,"""Bruce Cockburn""",,""""""
brucehornsby,"""Bruce Hornsby""",,""""""
bruces,"""Bruce Springsteen""",,""""""
brucespringsteen,"""Bruce Springsteen""",,""""""
brutus,"""Brutus""",,""""""
bsojc,"""Bastard Sons of Johnny Cash""",,""""""
bss,"""Broken Social Scene""",,""""""
bst,"""unknown""",,""""""
bt-jl,"""unknown""",,""""""
btalcbigband,"""BT ALC Big Band""",,""""""
btb,"""unknown""",,""""""
buckingham mcvie,"""Lindsey Buckingham & Christine McVie""",,""""""
"buckley, jeff","""Jeff Buckley""",,""""""
buckwheat zydeco,"""Buckwheat Zydeco""",,""""""
buckwheatzydeco,"""Buckwheat Zydeco""",,""""""
buddy guy,"""Buddy Guy""",,""""""
buddy guy wuth eric clapton,"""Buddy Guy with Eric Clapton""",,""""""
buddyguy,"""Buddy Guy""",,""""""
buddymillerandjimlauderdale,"""Buddy Miller & Jim Lauderdale""",,""""""
buddywhittington,"""Buddy Whittington""",,""""""
budgie bierkeller,"""Budgie Bierkiller""",,""""""
budosband,"""The Budos Band""",,""""""
budwig,"""Bart Budwig""",,""""""
buffalo_tom,"""Buffalo Tom""",,""""""
buffalotom,"""Buffalo Tom""",,""""""
buick,"""Buick""",,""""""
bunyan,"""Vashti Bunyan""",,""""""
burnett,"""unknown""",,""""""
bush,"""Bush""",,""""""
buster poindexter,"""Buster Poindexter""",,""""""
butchtrucks,"""Butch Trucks""",,""""""
buzzcocks,"""Buzzcocks""",,""""""
bvcombo,"""unknown""",,""""""
bvox,"""unknown""",,""""""
bweir,"""Bob Weir""",,""""""
byrds,"""The Byrds""",,""""""
bz,"""B'z""",,""""""
c,"""notband""",,""""""
ca,"""unknown""",,""""""
cabbage,"""Cabbage""",,""""""
cabinet,"""Cabinet""",,""""""
cactus,"""Cactus""",,""""""
cage the elephant,"""Cage the Elephant""",,""""""
califone,"""Califone""",,""""""
californiahoneydrops,"""California Honey Drops""",,""""""
camel,"""Camel""",,""""""
cameroncarpenter,"""Cameron Carpenter""",,""""""
camper,"""Camper""",,""""""
camper van beethoven,"""Camper Van Beethoven""",,""""""
can,"""Can""",,""""""
candlebox,"""Candlebox""",,""""""
canned heat,"""Cannet Heat""",,""""""
cantata_singers,"""Cantata Singers""",,""""""
caravan,"""Caravan""",,""""""
cardiacs,"""Cardiacs""",,""""""
cardinals,"""Cardinals""",,""""""
carla bley,"""Carla Bley""",,""""""
carlanderson,"""Carl Anderson""",,""""""
"carlton, larry","""Larry Carlton""",,""""""
"carmen, eric","""Eric Carmen""",,""""""
carney+richardson,"""Carney & Richardson""",,""""""
carneyballjohnson,"""Carney, Ball, & Johnson""",,""""""
carolynwonderland,"""Carolyn Wonderland""",,""""""
carrie_rodriquez,"""Carrie Roriguezz""",,""""""
cartwrightzorndick,"""Cartwright & Zorndick""",,""""""
cashdout,"""Cash'd Out""",,""""""
cask strength ceilidh band,"""Cask Strength Celidh Band""",,""""""
casper,"""Casper""",,""""""
casualties,"""The Casualties""",,""""""
catfish & the bottlemen,"""Catfish & The Bottlement""",,""""""
cats,"""The Cats""",,""""""
cavesingers,"""The Cave Singers""",,""""""
cbb,"""unknown""",,""""""
cbradley,"""unknown""",,""""""
ccr,"""Creedence Clearwater Revival""",,""""""
cdb,"""CDB""",,""""""
cdbdb,"""unknown""",,""""""
cdimage,"""notband""",,""""""
cdo,"""unknown""",,""""""
ce,"""unknown""",,""""""
ceciltaylor,"""Cecil Taylor""",,""""""
celibate rifles,"""Celibate Rifles""",,""""""
celso pina,"""Celso Piña""",,""""""
cfj ff,"""CFJ""",FALSE,""""""
cgb,"""Coconut Groove Band""",,""""""
cgm,"""unknown""",,""""""
chameleons,"""The Chameleons""",,""""""
chameleons vox,"""The Chameleons""",FALSE,""""""
chantal acda,"""Chantal Acda""",,""""""
chanticleer,"""Chanticleer""",,""""""
charles bradley,"""Charles Bradley""",,""""""
charles pasi,"""Charles Pasi""",,""""""
charlesbradley,"""Charles Bradley""",,""""""
charlie,"""Charlie""",,""""""
charlie puth,"""Charlie Puth""",,""""""
charlie_musslewhite,"""Charlie Musselwhite""",,""""""
charliedaniels,"""Charlie Daniels""",,""""""
charliehuntertrio,"""Charlie Hunter Trio""",,""""""
charliemusselwhite,"""Charlie Musselwhite""",,""""""
charlieparr,"""Charlie Parr""",,""""""
charming liars,"""Charming Liars""",,""""""
chasca,"""Chasca""",,""""""
cheap trick,"""Cheap Trick""",,""""""
cheaptrick,"""Cheap Trick""",,""""""
cheer accident,"""Cheer Accident""",,""""""
cheickhamaladiabate,"""Cheick Hamala Diabate""",,""""""
chelsea,"""Chelsea""",,""""""
cherry glazerr,"""Cherry Glazerr""",,""""""
chic,"""Chic""",,""""""
chic & nile rodgers,"""Chic & Nile Rodgers""",,""""""
chic and nile rodgers,"""Chic & Nile Rodgers""",,""""""
chicago transit authority,"""Chicago Transit Authority""",,""""""
chicagofarmer,"""Chicago Farmer""",,""""""
chicanobatman,"""Chicano Batman""",,""""""
chiccorea,"""Chick Corea""",,""""""
chick corea,"""Chick Corea""",,""""""
chickcorea,"""Chick Corea""",,""""""
chickenshack,"""Chicken Shack""",,""""""
child,"""CHILD""",,""""""
chip,"""unknown""",,""""""
chip taylor,"""Chip Taylor""",,""""""
chris,"""unknown""",,""""""
chris hillman and herb pedersen,"""Chris Hillman & Herb Pedersen""",,""""""
chris rea,"""Chris Rea""",,""""""
chris robinson brotherhood,"""Chris Robinson Brotherhood""",,""""""
chris squire,"""Chris Squire""",,""""""
chris whitley,"""Chris Whitley""",,""""""
chris_smither,"""Chris Smither""",,""""""
chrisfarlowe,"""Chris Farlowe""",,""""""
chrisisaak,"""Chris Isaak""",,""""""
chrisrobinson,"""Chris Robinson""",,""""""
christian scott,"""Christian Scott""",,""""""
christinebalfaandbalfatoujours,"""Christine Balfa & Balfa Tojours""",,""""""
church,"""Church""",,""""""
churchofmisery,"""Church of Misery""",,""""""
cigarettes after sex,"""Cigarettes After Sex""",,""""""
cinemechanica,"""Cinemechanica""",,""""""
circle jerks,"""Circle Jerks""",,""""""
circlejerks,"""Circle Jerks""",,""""""
circusnine,"""Circus No. 9""",,""""""
cjfish,"""CJ Fish""",,""""""
clairelynchband,"""Claire Lynch Band""",,""""""
clan,"""Clan""",,""""""
clap your hands say yeah,"""Clap Your Hands Say Yeah""",,""""""
clapton,"""Eric Clapton""",,""""""
"clapton, eric","""Eric Clapton""",,""""""
clarence_white,"""Clarence White""",,""""""
clarkegilby,"""Gilby Clarke""",,""""""
clash,"""The Clash""",,""""""
clean bandit,"""Clean Bandit""",,""""""
clegg,"""Johnny Clegg""",,""""""
cleveland orchestra,"""Cleveland Orchestra""",,""""""
cleveland_orchestra,"""Cleveland Orchestra""",,""""""
clevelandorchestra,"""Cleveland Orchestra""",,""""""
cliff_louise,"""Louise Cliffe""",,""""""
cliffrichard,"""Cliff Richard""",,""""""
clinic,"""Clinic""",,""""""
clive gregson & liz simcock,"""Clive Gregson & Liz Simcock""",,""""""
close lobsters,"""Close Lobsters""",,""""""
coalboilers,"""The Coalboilers""",,""""""
cob,"""Children of Bodom""",,""""""
cobain,"""Kurt Cobain""",,""""""
cockburn,"""Bruce Cockburn""",,""""""
"cockburn, bruce","""Bruce Cockburn""",,""""""
coco,"""CoCo""",,""""""
coco montoya,"""Coco Montoya""",,""""""
cody,"""Cody""",,""""""
coldwarkids,"""Cold War Kids""",,""""""
colin donaldson scottish dance band,"""Colin Donaldson Scottish Dance Band""",,""""""
colinhay,"""Colin Hay""",,""""""
colinjames,"""Coin James""",,""""""
collier,"""unknown""",,""""""
