ID,filename,source,filetype,band_abbrev,abbrev_type,band,thedate,date_format,date_right_after_band,score
587834.html,wsp2016-07-06d01t08.flac,Etree,flac,wsp,canonical,Widespread Panic,2016-07-06 00:00:00,yyyy-mm-dd,True,4
587835.html,TTB2016-07-23t08.flac,Etree,flac,ttb,assigned,Tedeschi Trucks Band,2016-07-23 00:00:00,yyyy-mm-dd,True,4
587841.html,ttb2016-07-23d02t01.flac,Etree,flac,ttb,assigned,Tedeschi Trucks Band,2016-07-23 00:00:00,yyyy-mm-dd,True,4
587813.html,wsp2016-07-15S1t.01.flac,Etree,flac,wsp,canonical,Widespread Panic,2016-07-15 00:00:00,yyyy-mm-dd,True,4
587844.html,loslobos2016-07-23s1t01.flac,Etree,flac,loslobos,assigned,Los Lobos,2016-07-23 00:00:00,yyyy-mm-dd,True,4
587845.html,loslobos2016-07-23s1t01.flac,Etree,flac,loslobos,assigned,Los Lobos,2016-07-23 00:00:00,yyyy-mm-dd,True,4
587846.html,ttb2016-07-23s1t01.flac,Etree,flac,ttb,assigned,Tedeschi Trucks Band,2016-07-23 00:00:00,yyyy-mm-dd,True,4
587847.html,ttb2016-07-23s1t01.flac,Etree,flac,ttb,assigned,Tedeschi Trucks Band,2016-07-23 00:00:00,yyyy-mm-dd,True,4
587848.html,loslobos2016-07-23s1t01.flac,Etree,flac,loslobos,assigned,Los Lobos,2016-07-23 00:00:00,yyyy-mm-dd,True,4
587849.html,Dopapod2015-10-10.bsc2.k41.t13.flac,Etree,flac,dopapod,assigned,Dopapod,2015-10-10 00:00:00,yyyy-mm-dd,True,4
587851.html,ph2016-07-23tr21.flac,Etree,flac,ph,canonical,Phish,2016-07-23 00:00:00,yyyy-mm-dd,True,4
587854.html,ph2016-07-23tr13.flac,Etree,flac,ph,canonical,Phish,2016-07-23 00:00:00,yyyy-mm-dd,True,4
587857.html,gd1982-08-03s1t01.flac,Etree,flac,gd,canonical,Grateful Dead,1982-08-03 00:00:00,yyyy-mm-dd,True,4
587861.html,loslobos2016-07-23d01t09.flac,Etree,flac,loslobos,assigned,Los Lobos,2016-07-23 00:00:00,yyyy-mm-dd,True,4
587862.html,loslobos2016-07-23d01t09.flac,Etree,flac,loslobos,assigned,Los Lobos,2016-07-23 00:00:00,yyyy-mm-dd,True,4
587867.html,elephantrevival2016-07-16t01.flac,Etree,flac,elephantrevival,assigned,Elephant Revival,2016-07-16 00:00:00,yyyy-mm-dd,True,4
587814.html,ph1995-12-31d3t01.shn,Etree,shn,ph,canonical,Phish,1995-12-31 00:00:00,yyyy-mm-dd,True,4
587812.html,ph2016-07-20S1t.01.flac,Etree,flac,ph,canonical,Phish,2016-07-20 00:00:00,yyyy-mm-dd,True,4
587870.html,ph1997-07-26d1t01.flac,Etree,flac,ph,canonical,Phish,1997-07-26 00:00:00,yyyy-mm-dd,True,4
587796.html,wsp1998-04-28s1t01.flac,Etree,flac,wsp,canonical,Widespread Panic,1998-04-28 00:00:00,yyyy-mm-dd,True,4
587779.html,nmas2016-07-20t01.flac,Etree,flac,nmas,canonical,North Mississippi Allstars,2016-07-20 00:00:00,yyyy-mm-dd,True,4
587780.html,loslobos2016-07-20t01.flac,Etree,flac,loslobos,assigned,Los Lobos,2016-07-20 00:00:00,yyyy-mm-dd,True,4
587781.html,dubapocalypse2016-07-17set1t03.flac,Etree,flac,dubapocalypse,assigned,Dubapocalypse,2016-07-17 00:00:00,yyyy-mm-dd,True,4
587782.html,loslobos2016-07-20t05.flac,Etree,flac,loslobos,assigned,Los Lobos,2016-07-20 00:00:00,yyyy-mm-dd,True,4
587783.html,nmas2016-07-20t09.flac,Etree,flac,nmas,canonical,North Mississippi Allstars,2016-07-20 00:00:00,yyyy-mm-dd,True,4
587785.html,ph2016-07-20S1t.01.flac,Etree,flac,ph,canonical,Phish,2016-07-20 00:00:00,yyyy-mm-dd,True,4
587787.html,crb2016-07-19t-17.flac,Etree,flac,crb,assigned,Chris Robinson Brotherhood,2016-07-19 00:00:00,yyyy-mm-dd,True,4
587789.html,"ph2016-07-19 Sf,Ca t07 Wombat.flac",Etree,flac,ph,canonical,Phish,2016-07-19 00:00:00,yyyy-mm-dd,True,4
587790.html,dustbowlrevival2016-07-12.cmc622xt.sbd.matrix-t01.flac,Etree,flac,dustbowlrevival,assigned,Dust Bowl Revival,2016-07-12 00:00:00,yyyy-mm-dd,True,4
587791.html,dustbowlrevival2016-07-12.cmc622xt.sbd.matrix-t01.flac,Etree,flac,dustbowlrevival,assigned,Dust Bowl Revival,2016-07-12 00:00:00,yyyy-mm-dd,True,4
587792.html,crb2016-07-19t-17.flac,Etree,flac,crb,assigned,Chris Robinson Brotherhood,2016-07-19 00:00:00,yyyy-mm-dd,True,4
587794.html,julierhodes2016-07-16t05.flac,Etree,flac,julierhodes,assigned,Julie Rhodes,2016-07-16 00:00:00,yyyy-mm-dd,True,4
587797.html,wsp1998-07-23s1t01.flac,Etree,flac,wsp,canonical,Widespread Panic,1998-07-23 00:00:00,yyyy-mm-dd,True,4
587811.html,ph2016-07-19S1t.01.flac,Etree,flac,ph,canonical,Phish,2016-07-19 00:00:00,yyyy-mm-dd,True,4
587798.html,wsp1998-07-26s1t10.flac,Etree,flac,wsp,canonical,Widespread Panic,1998-07-26 00:00:00,yyyy-mm-dd,True,4
587799.html,wsp2000-04-21s2t03.flac,Etree,flac,wsp,canonical,Widespread Panic,2000-04-21 00:00:00,yyyy-mm-dd,True,4
587800.html,wsp2000-04-24s2t02.flac,Etree,flac,wsp,canonical,Widespread Panic,2000-04-24 00:00:00,yyyy-mm-dd,True,4
587801.html,wsp2000-04-25s2t03.flac,Etree,flac,wsp,canonical,Widespread Panic,2000-04-25 00:00:00,yyyy-mm-dd,True,4
587802.html,MandolinOrange2016-06-18_MK2S04.flac,Etree,flac,mandolinorange,assigned,Mandolin Orange,2016-06-18 00:00:00,yyyy-mm-dd,True,4
587803.html,ph1996-07-22t01.flac,Etree,flac,ph,canonical,Phish,1996-07-22 00:00:00,yyyy-mm-dd,True,4
587804.html,YMSB2016-06-22_s2_t13.flac,Etree,flac,ymsb,canonical,Yonder Mountain String Band,2016-06-22 00:00:00,yyyy-mm-dd,True,4
587805.html,larrycampbell_teresawilliams2016-07-21.mk6.edtyre.t01.flac,Etree,flac,larrycampbell_teresawilliams,assigned,Larry Campbell & Teresa Williams,2016-07-21 00:00:00,yyyy-mm-dd,True,4
587806.html,bromberg2016-07-21.mk6.edtyre.t01.flac,Etree,flac,bromberg,assigned,Brett Romberg,2016-07-21 00:00:00,yyyy-mm-dd,True,4
587808.html,jackie2016-07-22d01t09.flac,Etree,flac,jackie,assigned,Jackie Blue,2016-07-22 00:00:00,yyyy-mm-dd,True,4
587809.html,"ph2016-07-18 Sf,Ca t16 Sneakin' Sally Through the Alley.flac",Etree,flac,ph,canonical,Phish,2016-07-18 00:00:00,yyyy-mm-dd,True,4
587810.html,ph2016-07-18S1t.01.flac,Etree,flac,ph,canonical,Phish,2016-07-18 00:00:00,yyyy-mm-dd,True,4
587868.html,emmylouharris2016-06-19t09.flac,Etree,flac,emmylouharris,assigned,Emmy Lou Harris,2016-06-19 00:00:00,yyyy-mm-dd,True,4
587871.html,america2016-07-23d01t07.flac,Etree,flac,america,assigned,America,2016-07-23 00:00:00,yyyy-mm-dd,True,4
587776.html,HaasKowertTice2016-07-19.SBD.mk2S.Matrix.flac16-01.flac,Etree,flac,haaskowerttice,assigned,Haas Kowert Tice,2016-07-19 00:00:00,yyyy-mm-dd,True,4
587953.html,jgms1974-02-16s2t08.flac,Etree,flac,jgms,assigned,Jerry Garcia & Merl Saunders,1974-02-16 00:00:00,yyyy-mm-dd,True,4
587935.html,crb2016-07-30.mk4v.sxr4.1644.s1t01.flac,Etree,flac,crb,assigned,Chris Robinson Brotherhood,2016-07-30 00:00:00,yyyy-mm-dd,True,4
587937.html,bookertjones2016-07-16t03.flac,Etree,flac,bookertjones,assigned,Booker T. Jones,2016-07-16 00:00:00,yyyy-mm-dd,True,4
587938.html,crb2016-07-30.mk4v.sxr4.2496.s1t01.flac,Etree,flac,crb,assigned,Chris Robinson Brotherhood,2016-07-30 00:00:00,yyyy-mm-dd,True,4
587941.html,BenSparacoBand2016-05-12_d1t10_-outtro-.flac,Etree,flac,bensparacoband,assigned,Ben Sparaco Band,2016-05-12 00:00:00,yyyy-mm-dd,True,4
587943.html,crb2016-07-30.mk41v.sxr4.1644.s1t01.flac,Etree,flac,crb,assigned,Chris Robinson Brotherhood,2016-07-30 00:00:00,yyyy-mm-dd,True,4
587944.html,crb2016-07-30.mk41v.sxr4.2496.s1t01.flac,Etree,flac,crb,assigned,Chris Robinson Brotherhood,2016-07-30 00:00:00,yyyy-mm-dd,True,4
587946.html,gd1972-04-26s2t05.flac,Etree,flac,gd,canonical,Grateful Dead,1972-04-26 00:00:00,yyyy-mm-dd,True,4
587948.html,jg1973-09-06.s2t11_My_Funny_Valentine.flac,Etree,flac,jg,variant,Jerry Garcia,1973-09-06 00:00:00,yyyy-mm-dd,True,4
587949.html,jgms1973-10-11.s2t08_Sunshine_Of_My_Life.flac,Etree,flac,jgms,assigned,Jerry Garcia & Merl Saunders,1973-10-11 00:00:00,yyyy-mm-dd,True,4
587950.html,samholtband2016-07-28s1t01.flac,Etree,flac,samholtband,assigned,The Sam Holt Band,2016-07-28 00:00:00,yyyy-mm-dd,True,4
587951.html,samholtband2016-07-30s1t01.flac,Etree,flac,samholtband,assigned,The Sam Holt Band,2016-07-30 00:00:00,yyyy-mm-dd,True,4
587952.html,jg1973-11-05.s2t11_My_Funny_Valentine.flac,Etree,flac,jg,variant,Jerry Garcia,1973-11-05 00:00:00,yyyy-mm-dd,True,4
565513.html,sherylcrow2016-06-30t15.flac,DimeaDozen,flac,sherylcrow,assigned,Sheryl Crow,2016-06-30 00:00:00,yyyy-mm-dd,True,4
587933.html,crb2016-07-29.mk4v.sxr4.1644.s1t01.flac,Etree,flac,crb,assigned,Chris Robinson Brotherhood,2016-07-29 00:00:00,yyyy-mm-dd,True,4
565514.html,sherylcrow2016-06-30t15.flac,DimeaDozen,flac,sherylcrow,assigned,Sheryl Crow,2016-06-30 00:00:00,yyyy-mm-dd,True,4
565534.html,tbc1996-12-10d1t01.flac16.flac,DimeaDozen,flac,tbc,assigned,TBC,1996-12-10 00:00:00,yyyy-mm-dd,True,4
565535.html,tbc1996-12-12d1t01.flac16.flac,DimeaDozen,flac,tbc,assigned,TBC,1996-12-12 00:00:00,yyyy-mm-dd,True,4
565539.html,frankcarter2016-06-27.mk4.t01.flac,DimeaDozen,flac,frankcarter,assigned,Frank Carter,2016-06-27 00:00:00,yyyy-mm-dd,True,4
565550.html,marthascanlan2016-01-16t-09.flac,DimeaDozen,flac,marthascanlan,assigned,Martha Scanlan,2016-01-16 00:00:00,yyyy-mm-dd,True,4
565555.html,tool2001-07-01t01.flac,DimeaDozen,flac,tool,assigned,Tool,2001-07-01 00:00:00,yyyy-mm-dd,True,4
565556.html,u21997-06-28d1t01.flac,DimeaDozen,flac,u2,assigned,U2,1997-06-28 00:00:00,yyyy-mm-dd,True,4
565565.html,tbc1996-12-13d1t01.flac16.flac,DimeaDozen,flac,tbc,assigned,TBC,1996-12-13 00:00:00,yyyy-mm-dd,True,4
565566.html,tbc1996-12-14d1t01.flac16.flac,DimeaDozen,flac,tbc,assigned,TBC,1996-12-14 00:00:00,yyyy-mm-dd,True,4
565605.html,bd1975-11-17lated1t01.shn,DimeaDozen,shn,bd,assigned,Bob Dylan,1975-11-17 00:00:00,yyyy-mm-dd,True,4
565611.html,soundgarden1994-07-28d1t01.flac,DimeaDozen,flac,soundgarden,assigned,Soundgarden,1994-07-28 00:00:00,yyyy-mm-dd,True,4
565613.html,deanmonkey&amp;thedropouts2016-05-14t01.ca14s.cards.16bit.flac,DimeaDozen,flac,deanmonkey&amp;thedropouts,assigned,Dean Monkey & The Dropouts,2016-05-14 00:00:00,yyyy-mm-dd,True,4
587934.html,crb2016-07-29.mk4v.sxr4.2496.s1t01.flac,Etree,flac,crb,assigned,Chris Robinson Brotherhood,2016-07-29 00:00:00,yyyy-mm-dd,True,4
587930.html,gd1969-12-26t01.flac,Etree,flac,gd,canonical,Grateful Dead,1969-12-26 00:00:00,yyyy-mm-dd,True,4
587872.html,kathbloom2016-07-24d01t18.flac,Etree,flac,kathbloom,assigned,Kath Bloom,2016-07-24 00:00:00,yyyy-mm-dd,True,4
587901.html,dmb2016-07-26T01.flac,Etree,flac,dmb,canonical,Dave Matthews Band,2016-07-26 00:00:00,yyyy-mm-dd,True,4
587874.html,JMedeskiMadSkillet2016-04-25s1t01.flac,Etree,flac,jmedeskimadskillet,assigned,John Medeski's Mad Skillet,2016-04-25 00:00:00,yyyy-mm-dd,True,4
587876.html,los2016-07-23_24bit_t01.flac,Etree,flac,los,canonical,Leftover Salmon,2016-07-23 00:00:00,yyyy-mm-dd,True,4
587877.html,los2016-07-23_t01.flac,Etree,flac,los,canonical,Leftover Salmon,2016-07-23 00:00:00,yyyy-mm-dd,True,4
587878.html,gsbg2016-07-23_set1_24bit_t01.flac,Etree,flac,gsbg,assigned,Greensky Bluegrass,2016-07-23 00:00:00,yyyy-mm-dd,True,4
587879.html,gsbg2016-07-23_set1_t01.flac,Etree,flac,gsbg,assigned,Greensky Bluegrass,2016-07-23 00:00:00,yyyy-mm-dd,True,4
587883.html,spottedtiger2016-07-16t13.flac,Etree,flac,spottedtiger,assigned,Spotted Tiger,2016-07-16 00:00:00,yyyy-mm-dd,True,4
587886.html,chiefbroom2000-05-19t01.flac,Etree,flac,chiefbroom,assigned,Chief Broom,2000-05-19 00:00:00,yyyy-mm-dd,True,4
587887.html,warrenhaynes2016-07-19-16bit-d1-t01.flac,Etree,flac,warrenhaynes,assigned,Warren Haynes,2016-07-19 00:00:00,yyyy-mm-dd,True,4
587892.html,sci2016-07-23-set-1-mk401_Howdy_Oregon.flac,Etree,flac,sci,canonical,String Cheese Incident,2016-07-23 00:00:00,yyyy-mm-dd,True,4
587894.html,revtorband2016-07-09t11.flac,Etree,flac,revtorband,assigned,Rev Tor,2016-07-09 00:00:00,yyyy-mm-dd,True,4
587898.html,gsbg2016-07-22s1t10.flac,Etree,flac,gsbg,assigned,Greensky Bluegrass,2016-07-22 00:00:00,yyyy-mm-dd,True,4
587899.html,gsbg2016-07-23s2t11.flac,Etree,flac,gsbg,assigned,Greensky Bluegrass,2016-07-23 00:00:00,yyyy-mm-dd,True,4
587905.html,MMW2016-07-22Red RocksTelefunken M6001.flac,Etree,flac,mmw,canonical,Medeski Martin & Wood,2016-07-22 00:00:00,yyyy-mm-dd,True,4
587929.html,dml2016-07-23.sbd.elam260.d1t11.flac,Etree,flac,dml,assigned,DangerousMuteLunatic,2016-07-23 00:00:00,yyyy-mm-dd,True,4
587908.html,dandc2016-07-26s1t01.flac,Etree,flac,dandc,assigned,Dead & Company,2016-07-26 00:00:00,yyyy-mm-dd,True,4
587909.html,dandc2016-07-26s1t01.flac,Etree,flac,dandc,assigned,Dead & Company,2016-07-26 00:00:00,yyyy-mm-dd,True,4
587910.html,inyang2016-07-28d01t06.flac,Etree,flac,inyang,assigned,Inyang Bassey,2016-07-28 00:00:00,yyyy-mm-dd,True,4
587913.html,flowtilla2016-07-15d01t08.flac,Etree,flac,flowtilla,assigned,Flowtilla,2016-07-15 00:00:00,yyyy-mm-dd,True,4
587914.html,houseband2016-06-19d02t06.flac,Etree,flac,houseband,assigned,House Band,2016-06-19 00:00:00,yyyy-mm-dd,True,4
587917.html,nma2016-07-23d01t05.flac,Etree,flac,nma,assigned,New Model Army,2016-07-23 00:00:00,yyyy-mm-dd,True,4
587918.html,Joewarner2016-07-14d01t01.flac,Etree,flac,joewarner,assigned,Joe Warner,2016-07-14 00:00:00,yyyy-mm-dd,True,4
587919.html,crb2016-07-29.mk22.sxr4.1644.s1t01.flac,Etree,flac,crb,assigned,Chris Robinson Brotherhood,2016-07-29 00:00:00,yyyy-mm-dd,True,4
587920.html,crb2016-07-29.mk22.sxr4.2496.s1t01.flac,Etree,flac,crb,assigned,Chris Robinson Brotherhood,2016-07-29 00:00:00,yyyy-mm-dd,True,4
587921.html,richrobinson2016-07-28.mk6.edtyre.d1.t01.flac,Etree,flac,richrobinson,assigned,Rich Robinson,2016-07-28 00:00:00,yyyy-mm-dd,True,4
587923.html,chq2002-08-04t6.flac,Etree,flac,chq,assigned,Charlie Hunter,2002-08-04 00:00:00,yyyy-mm-dd,True,4
587924.html,DL&amp;Q2016-06-11t01.flac,Etree,flac,dl&amp;q,assigned,Doyle Lawson & Quicksiler,2016-06-11 00:00:00,yyyy-mm-dd,True,4
587778.html,ttb2016-07-20d1t01.flac,Etree,flac,ttb,assigned,Tedeschi Trucks Band,2016-07-20 00:00:00,yyyy-mm-dd,True,4
587775.html,crb2016-07-19t-17.flac,Etree,flac,crb,assigned,Chris Robinson Brotherhood,2016-07-19 00:00:00,yyyy-mm-dd,True,4
565623.html,ph&amp;tl2016-07-01t01.flac,DimeaDozen,flac,ph&amp;tl,assigned,Phish,2016-07-01 00:00:00,yyyy-mm-dd,True,4
587636.html,dmb2016-07-01t01.flac,Etree,flac,dmb,canonical,Dave Matthews Band,2016-07-01 00:00:00,yyyy-mm-dd,True,4
587614.html,deadandcompany2016-06-20set1t01.flac,Etree,flac,deadandcompany,assigned,Dead & Company,2016-06-20 00:00:00,yyyy-mm-dd,True,4
587615.html,ph2016-07-09.mk41v.sxr4.1644.s1t01.flac,Etree,flac,ph,canonical,Phish,2016-07-09 00:00:00,yyyy-mm-dd,True,4
587616.html,ph2016-07-09.mk41v.sxr4.2496.s1t01.flac,Etree,flac,ph,canonical,Phish,2016-07-09 00:00:00,yyyy-mm-dd,True,4
587617.html,DeadCo2016-07-09_MK22_SET0101.flac,Etree,flac,deadco,assigned,Dead & Company,2016-07-09 00:00:00,yyyy-mm-dd,True,4
587618.html,gd1982-02-19s1t01.flac,Etree,flac,gd,canonical,Grateful Dead,1982-02-19 00:00:00,yyyy-mm-dd,True,4
587621.html,dmb2016-06-28t01.flac,Etree,flac,dmb,canonical,Dave Matthews Band,2016-06-28 00:00:00,yyyy-mm-dd,True,4
587622.html,dmb2016-06-28t01.flac,Etree,flac,dmb,canonical,Dave Matthews Band,2016-06-28 00:00:00,yyyy-mm-dd,True,4
587626.html,phil2016-07-12d01t04.flac,Etree,flac,phil,canonical,Phil Lesh & Friends,2016-07-12 00:00:00,yyyy-mm-dd,True,4
587628.html,urethane2016-06-11set1t02.flac,Etree,flac,urethane,assigned,Urethane,2016-06-11 00:00:00,yyyy-mm-dd,True,4
587629.html,jamemurrellstanley2016-07-08t06.flac,Etree,flac,jamemurrellstanley,assigned,Jane Murrell Stanley,2016-07-08 00:00:00,yyyy-mm-dd,True,4
587631.html,sbb2016-06-18d02t07.flac,Etree,flac,sbb,assigned,SBB,2016-06-18 00:00:00,yyyy-mm-dd,True,4
587635.html,dmb2016-07-01t01.flac,Etree,flac,dmb,canonical,Dave Matthews Band,2016-07-01 00:00:00,yyyy-mm-dd,True,4
587638.html,wsp2016-07-12s1t01.flac,Etree,flac,wsp,canonical,Widespread Panic,2016-07-12 00:00:00,yyyy-mm-dd,True,4
587610.html,raccoon2016-07-08s4t16.flac,Etree,flac,raccoon,assigned,Raccoon,2016-07-08 00:00:00,yyyy-mm-dd,True,4
587641.html,stuallen2016-07-13d01t07.flac,Etree,flac,stuallen,assigned,Stu Allen,2016-07-13 00:00:00,yyyy-mm-dd,True,4
587642.html,DeadAndCompany2016-07-10d1t01.flac,Etree,flac,deadandcompany,assigned,Dead & Company,2016-07-10 00:00:00,yyyy-mm-dd,True,4
587643.html,deadandcompany2016-07-13s01t01.flac,Etree,flac,deadandcompany,assigned,Dead & Company,2016-07-13 00:00:00,yyyy-mm-dd,True,4
587644.html,ph2016-07-09.mk4v.sxr4.1644.s1t01.flac,Etree,flac,ph,canonical,Phish,2016-07-09 00:00:00,yyyy-mm-dd,True,4
587645.html,ph2016-07-09.mk4v.sxr4.2496.s1t01.flac,Etree,flac,ph,canonical,Phish,2016-07-09 00:00:00,yyyy-mm-dd,True,4
587646.html,ph2016-07-09.mk22.sxm2.sxr4.1644.s1t01.flac,Etree,flac,ph,canonical,Phish,2016-07-09 00:00:00,yyyy-mm-dd,True,4
587647.html,ph2016-07-09.mk22.sxm2.sxr4.2496.s1t01.flac,Etree,flac,ph,canonical,Phish,2016-07-09 00:00:00,yyyy-mm-dd,True,4
587648.html,ph2016-07-10.mk4v.sxr4.1644.s1t01.flac,Etree,flac,ph,canonical,Phish,2016-07-10 00:00:00,yyyy-mm-dd,True,4
587649.html,ph2016-07-10.mk4v.sxr4.2496.s1t01.flac,Etree,flac,ph,canonical,Phish,2016-07-10 00:00:00,yyyy-mm-dd,True,4
587650.html,ph2016-07-10.mk22.sxm2.sxr4.1644.s1t01.flac,Etree,flac,ph,canonical,Phish,2016-07-10 00:00:00,yyyy-mm-dd,True,4
587651.html,ph2016-07-10.mk22.sxm2.sxr4.2496.s1t01.flac,Etree,flac,ph,canonical,Phish,2016-07-10 00:00:00,yyyy-mm-dd,True,4
587654.html,jgb1976-03-03iid1t01.flac,Etree,flac,jgb,canonical,Jerry Garcia Band,1976-03-03 00:00:00,yyyy-mm-dd,True,4
587613.html,deadandcompany2016-06-20d1t01.flac,Etree,flac,deadandcompany,assigned,Dead & Company,2016-06-20 00:00:00,yyyy-mm-dd,True,4
587605.html,ph2016-07-10.mk41.pfa.dr70d.24bit.set2.t01_Set_2_Intro.flac,Etree,flac,ph,canonical,Phish,2016-07-10 00:00:00,yyyy-mm-dd,True,4
587659.html,dmb2016-07-02t01.flac,Etree,flac,dmb,canonical,Dave Matthews Band,2016-07-02 00:00:00,yyyy-mm-dd,True,4
587587.html,davidrawlingsmachine2016-06-16t01.flac,Etree,flac,davidrawlingsmachine,assigned,The David Rawlings Machine,2016-06-16 00:00:00,yyyy-mm-dd,True,4
587556.html,um2016-07-07t13.flac,Etree,flac,um,canonical,Umphrey's McGee,2016-07-07 00:00:00,yyyy-mm-dd,True,4
587557.html,um2016-07-07t13.flac,Etree,flac,um,canonical,Umphrey's McGee,2016-07-07 00:00:00,yyyy-mm-dd,True,4
587560.html,nma2016-07-09t01.flac,Etree,flac,nma,assigned,New Model Army,2016-07-09 00:00:00,yyyy-mm-dd,True,4
587563.html,seldomscene2016-07-09.vwmule.t01.flac,Etree,flac,seldomscene,assigned,Seldom Scene,2016-07-09 00:00:00,yyyy-mm-dd,True,4
587566.html,ph2016-06-25s1t01.flac,Etree,flac,ph,canonical,Phish,2016-06-25 00:00:00,yyyy-mm-dd,True,4
587573.html,ptf2016-07-08set1t01.flac,Etree,flac,ptf,assigned,Praise the Fallen,2016-07-08 00:00:00,yyyy-mm-dd,True,4
587574.html,loslobos2016-07-09t01.flac,Etree,flac,loslobos,assigned,Los Lobos,2016-07-09 00:00:00,yyyy-mm-dd,True,4
587575.html,ph2003-02-25s1t01.flac,Etree,flac,ph,canonical,Phish,2003-02-25 00:00:00,yyyy-mm-dd,True,4
587577.html,ph2016-07-10.mk41v.sxr4.2496.s1t01.flac,Etree,flac,ph,canonical,Phish,2016-07-10 00:00:00,yyyy-mm-dd,True,4
587578.html,ph2016-07-10.mk41v.sxr4.1644.s1t01.flac,Etree,flac,ph,canonical,Phish,2016-07-10 00:00:00,yyyy-mm-dd,True,4
587580.html,jerryjoseph2016-06-10t09.flac,Etree,flac,jerryjoseph,assigned,Jerry Joseph,2016-06-10 00:00:00,yyyy-mm-dd,True,4
587584.html,deadandco2016-07-10akg481set1t01.flac,Etree,flac,deadandco,assigned,Dead & Company,2016-07-10 00:00:00,yyyy-mm-dd,True,4
587589.html,DEADCo2016-07-10_MK41_SET0101.flac,Etree,flac,deadco,assigned,Dead & Company,2016-07-10 00:00:00,yyyy-mm-dd,True,4
587604.html,DeadAndCompany2016-07-09d1t01.flac,Etree,flac,deadandcompany,assigned,Dead & Company,2016-07-09 00:00:00,yyyy-mm-dd,True,4
587591.html,hayleyjane2016-07-06.cmc622xt.sbd.matrix-t01.flac,Etree,flac,hayleyjane,assigned,Hayley Jane,2016-07-06 00:00:00,yyyy-mm-dd,True,4
587592.html,hayleyjane2016-07-06.cmc622xt.sbd.matrix-t01.flac,Etree,flac,hayleyjane,assigned,Hayley Jane,2016-07-06 00:00:00,yyyy-mm-dd,True,4
587593.html,elisetestone2016-07-06.cmc622xt.sbd.matrix-t01.flac,Etree,flac,elisetestone,assigned,Elise Testone,2016-07-06 00:00:00,yyyy-mm-dd,True,4
587594.html,elisetestone2016-07-06.cmc622xt.sbd.matrix-t01.flac,Etree,flac,elisetestone,assigned,Elise Testone,2016-07-06 00:00:00,yyyy-mm-dd,True,4
587595.html,marcuskingband2016-07-07.cmc622xt.sbd.matrix-t01.flac,Etree,flac,marcuskingband,assigned,The Marcus King Band,2016-07-07 00:00:00,yyyy-mm-dd,True,4
587596.html,marcuskingband2016-07-07.cmc622xt.sbd.matrix-t01.flac,Etree,flac,marcuskingband,assigned,The Marcus King Band,2016-07-07 00:00:00,yyyy-mm-dd,True,4
587597.html,erickrasnoband2016-07-07.cmc622xt.sbd.matrix-t01.flac,Etree,flac,erickrasnoband,assigned,Eric Krasno Band,2016-07-07 00:00:00,yyyy-mm-dd,True,4
587598.html,erickrasnoband2016-07-07.cmc622xt.sbd.matrix-t01.flac,Etree,flac,erickrasnoband,assigned,Eric Krasno Band,2016-07-07 00:00:00,yyyy-mm-dd,True,4
587599.html,erikdeutsch2016-07-08.cmc622xt.sbd.matrix-t01.flac,Etree,flac,erikdeutsch,assigned,Erik Deutsch,2016-07-08 00:00:00,yyyy-mm-dd,True,4
